time,UP,MB,DN
2025-10-04 13:09:34,122510.7,122048.0,121585.0
2025-10-04 13:09:36,122510.7,122048.0,121585.0
2025-10-04 13:09:37,122510.7,122048.0,121585.0
2025-10-04 13:09:38,122510.7,122048.0,121585.0
2025-10-04 13:09:39,122511.2,122048.0,121585.0
2025-10-04 13:09:41,122511.2,122048.0,121585.0
2025-10-04 13:09:42,122511.2,122048.0,121585.0
2025-10-04 13:09:43,122511.2,122048.0,121585.0
2025-10-04 13:09:44,122511.2,122048.0,121585.0
2025-10-04 13:09:45,122511.2,122048.0,121585.0
2025-10-04 13:09:47,122511.9,122048.0,121585.0
2025-10-04 13:09:48,122516.2,122049.0,121582.0
2025-10-04 13:09:49,122517.2,122049.0,121582.0
2025-10-04 13:09:50,122517.2,122049.0,121582.0
2025-10-04 13:09:52,122517.2,122049.0,121582.0
2025-10-04 13:09:53,122517.2,122049.0,121582.0
2025-10-04 13:09:54,122517.2,122049.0,121582.0
2025-10-04 13:09:55,122517.2,122049.0,121582.0
2025-10-04 13:09:56,122517.2,122049.0,121582.0
2025-10-04 13:09:58,122517.8,122049.0,121581.0
2025-10-04 13:09:59,122517.8,122049.0,121581.0
2025-10-04 13:10:00,122517.8,122049.0,121581.0
2025-10-04 13:10:01,122517.8,122049.0,121581.0
2025-10-04 13:10:03,122517.8,122049.0,121581.0
2025-10-04 13:10:04,122517.8,122049.0,121581.0
2025-10-04 13:10:05,122517.8,122049.0,121581.0
2025-10-04 13:10:06,122517.8,122049.0,121581.0
2025-10-04 13:10:07,122516.0,122049.0,121582.0
2025-10-04 13:10:09,122516.0,122049.0,121582.0
2025-10-04 13:10:10,122516.0,122049.0,121582.0
2025-10-04 13:10:11,122513.7,122048.0,121584.0
2025-10-04 13:10:12,122513.7,122048.0,121584.0
2025-10-04 13:10:14,122513.7,122048.0,121584.0
2025-10-04 13:22:08,122636.7,122081.0,121527.0
2025-10-04 13:22:09,122634.7,122081.0,121528.0
2025-10-04 13:22:11,122634.7,122081.0,121528.0
2025-10-04 13:22:12,122638.6,122082.0,121525.0
2025-10-04 13:22:13,122638.6,122082.0,121525.0
2025-10-04 13:22:14,122638.6,122082.0,121525.0
2025-10-04 13:22:16,122642.2,122082.0,121523.0
2025-10-04 13:22:17,122648.1,122084.0,121520.0
2025-10-04 13:22:18,122649.2,122084.0,121519.0
2025-10-04 13:22:19,122649.2,122084.0,121519.0
2025-10-04 13:22:21,122649.2,122084.0,121519.0
2025-10-04 13:22:22,122649.2,122084.0,121519.0
